Дата визита,UTM Source,Пол,Возраст,Достигнутая цель,Визиты
2025-09-02,yandex.promopages,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-09-02,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-09-06,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-09-11,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-09-13,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-09-14,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-09-14,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-10-24,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-10-29,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-11-01,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-11-18,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-11-26,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-11-30,yandex.promopages,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-12-07,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-12-18,yandex.promopages,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-12-19,yandex.promopages,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2025-12-29,yandex.promopages,женский,18‑24 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-28,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,3
2026-04-21,yandex.promopages,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-05-11,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-07-11,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,2
2026-01-01,yandex.promopages,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-05,yandex.promopages,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-06,yandex.promopages,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-06,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-09,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-10,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-10,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-16,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-17,yandex.promopages,мужской,18‑24 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-01-26,yandex.promopages,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-03,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-09,yandex.promopages,женский,18‑24 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-14,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-26,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-02-27,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-03-13,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-03-18,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-03-25,yandex.promopages,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-03-25,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-15,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-15,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-19,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-22,yandex.promopages,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-04-27,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-15,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-16,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-17,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-20,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-25,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-29,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-05-31,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-02,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-11,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-15,yandex.promopages,женский,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-15,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-20,yandex.promopages,женский,55 лет и старше,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-06-29,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-01,yandex.promopages,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-02,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-17,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-17,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-20,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-21,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-22,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-23,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-25,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-28,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-29,yandex.promopages,женский,35‑44 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-07-30,yandex.promopages,женский,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-09,yandex.promopages,мужской,45-54 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-11,yandex.promopages,женский,25‑34 года,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
2026-08-19,yandex.promopages,Не определено,Не определено,ОТПРАВКА ЛЮБОЙ ФОРМЫ,1
